,Date,Ta (°C),Tm (°C),I3 (W/m2),I15 (W/m2),P (kW)
219,2012-03-15 04:59:00,7.593666666666667,3.3833333333333333,439.5884999999999,542.7303333333334,399.8784999999999
220,2012-03-15 05:59:00,8.56,5.536999999999999,632.9361666666666,755.738333333333,577.9113166666667
221,2012-03-15 06:59:00,8.655333333333335,5.3226666666666675,769.3645000000002,872.6928333333333,683.1893500000001
222,2012-03-15 07:59:00,10.666333333333332,10.418333333333333,833.6823333333336,924.808333333333,713.5769833333331
223,2012-03-15 08:59:00,13.596333333333334,18.249000000000002,815.2598333333334,912.1384999999998,704.7495666666669
224,2012-03-15 09:59:00,15.1565,23.040666666666667,726.5821666666668,743.9213333333333,623.7827666666669
225,2012-03-15 10:59:00,16.346999999999998,25.811833333333336,618.9606666666665,662.2996666666666,536.4150666666668
226,2012-03-15 11:59:00,16.986833333333333,27.9375,435.3849999999997,463.4771666666667,363.92826666666656
227,2012-03-15 12:59:00,17.097166666666666,28.67816666666667,228.94783333333336,227.0225,160.87471666666661
228,2012-03-15 13:59:00,17.283166666666666,26.044999999999998,40.961333333333314,38.19783333333333,22.051616666666664
229,2012-03-15 14:59:00,16.971833333333333,23.391000000000002,0.0,0.0,0.07289999999999999
230,2012-03-15 15:59:00,16.453500000000002,20.124166666666667,0.0,0.0,0.0
231,2012-03-15 16:59:00,15.189666666666668,16.032,0.0,0.0,0.0
232,2012-03-15 17:59:00,13.626833333333332,11.588166666666666,0.0,0.0,0.0
233,2012-03-15 18:59:00,12.073166666666667,8.202166666666667,0.0,0.0,0.0
234,2012-03-15 19:59:00,11.262666666666666,7.240833333333334,0.08616666666666667,0.14633333333333334,0.11666666666666667
235,2012-03-15 20:59:00,10.611666666666666,7.264166666666665,47.47616666666667,81.62450000000003,36.20305
236,2012-03-15 21:39:00,9.93625,6.4357500000000005,259.6315,332.0709999999999,223.63413333333335
242,2012-03-16 03:59:00,7.321,3.17,476.1728333333335,559.3581666666665,428.95013333333316
243,2012-03-16 04:59:00,7.1128333333333345,2.7448333333333337,656.5780000000001,768.4429999999999,591.7431166666667
244,2012-03-16 05:59:00,6.3295,1.1025,781.6371666666669,897.6339999999997,681.15305
245,2012-03-16 06:59:00,6.900333333333333,2.552166666666667,846.1116666666668,947.5071666666669,716.1378666666664
246,2012-03-16 07:59:00,10.757166666666665,10.941166666666666,840.2755000000001,924.0171666666665,707.9519
247,2012-03-16 08:59:00,14.660833333333336,18.602166666666665,771.2026666666667,831.3533333333334,639.8794500000002
248,2012-03-16 09:59:00,16.53783333333333,27.49116666666667,658.1704347826086,705.8486956521739,550.9019782608698
249,2012-03-16 10:59:00,17.868166666666667,33.860166666666665,166.80346153846156,160.2961538461538,103.57711538461538
250,2012-03-16 11:59:00,18.94583333333333,35.30916666666666,38.67040816326531,36.66142857142858,21.608510204081625
251,2012-03-16 12:59:00,19.451166666666666,37.58683333333334,0.0,0.0,0.1085
252,2012-03-16 13:59:00,19.849166666666665,39.278,0.0,0.0,0.0
253,2012-03-16 14:39:00,19.8,34.709,0.0,0.0,0.0
254,2012-03-16 16:56:00,17.310399999999998,19.5216,0.0,0.0,0.0
255,2012-03-16 17:57:00,14.947399999999998,12.580400000000001,0.0,0.0,0.0
256,2012-03-16 18:56:00,12.056249999999999,6.3622499999999995,0.33799999999999997,0.47266666666666673,0.21201666666666666
257,2012-03-16 19:56:00,10.827,4.306,56.650833333333324,77.94083333333333,37.62541666666666
258,2012-03-16 20:56:00,9.477333333333332,2.4756666666666667,264.3326666666666,316.47533333333325,222.9742833333333
259,2012-03-16 21:56:00,8.497833333333332,1.2868333333333333,467.58916666666687,558.2826666666666,420.526
266,2012-03-17 04:56:00,5.491333333333333,-1.5555,636.4999999999999,742.5586666666667,575.1751166666666
267,2012-03-17 05:56:00,5.837833333333333,-0.4255,764.1988333333333,871.1639999999996,672.4710499999999
268,2012-03-17 06:56:00,9.149166666666666,4.394833333333334,817.8208333333334,909.7724999999999,702.0922833333337
269,2012-03-17 07:56:00,12.8185,13.073166666666665,731.7663333333334,890.3671666666667,648.9742000000003
270,2012-03-17 08:56:00,15.537333333333331,21.699333333333332,758.5721666666664,793.1419999999999,644.2818500000002
271,2012-03-17 09:56:00,17.358999999999998,32.29233333333334,620.7716666666668,655.7423333333334,526.5180166666665
272,2012-03-17 10:56:00,18.91633333333333,39.63100000000001,434.3823333333333,456.0820000000001,358.20531666666665
273,2012-03-17 11:56:00,19.434,43.10766666666667,216.51199999999997,219.87966666666674,157.90155000000004
274,2012-03-17 12:56:00,20.373499999999996,41.90516666666667,39.686666666666646,38.24266666666666,23.395366666666668
275,2012-03-17 13:56:00,20.528333333333332,41.672000000000004,0.0,0.0,0.10546666666666664
276,2012-03-17 14:56:00,19.942833333333336,36.25116666666666,0.0,0.0,0.0
277,2012-03-17 15:56:00,19.442166666666665,29.99466666666667,0.0,0.0,0.0
278,2012-03-17 16:56:00,17.964666666666663,22.016000000000002,0.0,0.0,0.0
279,2012-03-17 17:56:00,15.540666666666667,13.570833333333335,43.183478260869556,43.246521739130436,28.827956521739132
280,2012-03-17 18:56:00,13.3305,8.720666666666666,102.49674999999999,104.75425000000003,80.907375
281,2012-03-17 19:56:00,12.163666666666666,7.053999999999999,268.209,263.6815,228.83818333333338
282,2012-03-17 20:56:00,11.323333333333332,5.861000000000001,579.7278333333333,487.4556666666668,476.56628333333316
283,2012-03-17 21:46:00,10.8776,5.537599999999999,768.7913333333333,868.2166666666669,677.1507166666669
284,2012-03-18 06:56:00,12.931999999999997,11.647833333333333,825.9591666666668,923.5210000000002,708.4642833333334
285,2012-03-18 07:51:00,13.867333333333335,14.709333333333333,818.1156666666668,895.8769999999998,695.9628666666664
286,2012-03-18 08:51:00,15.439,19.792166666666667,749.7858333333332,806.3739999999996,636.1725333333331
287,2012-03-18 09:51:00,17.598666666666666,30.272999999999996,617.8711666666667,655.7878333333337,526.32405
288,2012-03-18 10:51:00,18.545166666666667,40.07566666666667,430.6758333333334,449.6506666666667,356.1067166666669
289,2012-03-18 11:51:00,19.920999999999996,43.72733333333334,215.09716666666665,215.93349999999998,159.66170000000002
290,2012-03-18 12:51:00,20.756333333333334,44.262,39.782000000000004,37.954833333333326,24.725033333333325
291,2012-03-18 13:51:00,21.039833333333334,41.2945,0.0,0.0,0.04448333333333334
292,2012-03-18 14:51:00,20.6655,36.81916666666667,0.0,0.0,0.0
293,2012-03-18 15:51:00,19.995166666666666,30.56483333333333,0.0,0.0,0.0
294,2012-03-18 16:51:00,18.016833333333334,22.063,0.0,0.0,0.0
295,2012-03-18 17:51:00,15.718666666666666,14.118333333333334,0.0,0.0,0.0
296,2012-03-18 18:51:00,13.732166666666666,9.841166666666668,0.21633333333333335,0.30533333333333335,0.1261
297,2012-03-18 19:51:00,12.713500000000002,8.074666666666667,35.44466666666667,36.595,23.787933333333328
298,2012-03-18 20:51:00,12.198833333333335,8.081000000000001,103.48316666666668,106.11683333333332,84.68848333333332
299,2012-03-18 21:51:00,11.708333333333334,7.0040000000000004,216.91366666666678,211.2766666666667,182.67965000000007
306,2012-03-19 04:51:00,13.114000000000003,10.802,459.0816666666668,360.0353333333334,363.3720666666667
307,2012-03-19 05:51:00,12.998,10.662833333333333,747.485833333333,800.6498333333333,650.7940833333334
308,2012-03-19 06:51:00,13.487666666666668,11.693666666666665,822.2768333333333,915.6028333333329,703.1497833333328
309,2012-03-19 07:51:00,14.796333333333331,15.394166666666665,818.4663333333335,893.1583333333333,687.5422333333335
310,2012-03-19 08:51:00,16.00916666666667,18.706333333333333,753.8968333333333,806.6778333333332,632.1001833333333
311,2012-03-19 09:51:00,18.1675,28.9815,619.4106666666667,650.0355000000002,521.6529500000001
312,2012-03-19 10:51:00,19.903333333333332,41.91833333333333,426.6120000000001,440.43299999999994,348.03516666666656
313,2012-03-19 11:51:00,21.086166666666667,46.64733333333333,237.40333333333336,239.20799999999997,175.78644999999995
314,2012-03-19 12:51:00,22.191166666666664,47.645,43.40066666666664,42.19550000000001,26.991433333333354
315,2012-03-19 13:51:00,22.733500000000003,45.96216666666667,0.0,0.0,0.19740000000000002
316,2012-03-19 14:51:00,22.9335,41.055499999999995,0.0,0.0,0.0
317,2012-03-19 15:51:00,22.287833333333328,33.351166666666664,0.0,0.0,0.0
318,2012-03-19 16:51:00,20.507833333333334,24.980333333333334,0.0,0.0,0.0
319,2012-03-19 17:51:00,17.378999999999998,15.698666666666666,0.0,0.0,0.0
320,2012-03-19 18:51:00,14.505833333333333,9.622,0.5496666666666667,0.7523333333333333,0.4311166666666667
321,2012-03-19 19:51:00,12.837499999999999,7.2171666666666665,68.61666666666666,81.8695,47.34671666666668
322,2012-03-19 20:51:00,11.927166666666666,6.1499999999999995,232.69733333333326,267.2125,205.16954999999996
323,2012-03-19 21:41:00,12.440199999999999,9.0632,451.43716666666666,521.5106666666667,411.4702999999999
330,2012-03-20 04:51:00,9.408,3.773166666666667,619.7750000000003,709.6788333333332,551.7583166666667
331,2012-03-20 05:51:00,8.532,3.109,706.1840000000001,799.4424999999999,611.9560999999997
332,2012-03-20 06:51:00,8.940333333333333,3.974833333333333,776.5320000000003,864.7211666666669,656.4957833333334
333,2012-03-20 07:51:00,12.306833333333332,12.659999999999998,749.0083333333331,811.3990000000002,622.4932333333334
334,2012-03-20 08:51:00,15.464333333333334,24.25066666666667,746.9240540540543,800.4178378378377,617.7430810810812
335,2012-03-20 09:51:00,17.708,35.338166666666666,596.8453333333331,631.3218333333335,498.3109166666665
336,2012-03-20 10:51:00,18.918333333333333,41.500166666666665,432.20200000000006,450.7725000000001,354.1045666666666
337,2012-03-20 11:51:00,20.354333333333333,43.87583333333333,209.0523333333334,212.65450000000004,156.67793333333336
338,2012-03-20 12:51:00,21.321,41.56033333333333,51.6330909090909,49.42254545454543,33.41949090909091
339,2012-03-20 13:31:00,21.20925,36.56700000000001,0.0,0.0,0.19010000000000002
340,2012-03-20 14:54:00,20.930166666666665,33.848000000000006,0.0,0.0,0.0
