Date,Ta (°C),Tm (°C),P (kW),I (W/m2)
2013-06-18,30.15716667,34.5605,6069.228909090909,7887.310862729907
2013-06-19,31.36766667,36.533166666666666,6057.346540909091,8078.138086787878
2013-06-20,33.461583335,38.72833333333333,6109.523899623351,7982.97265568574
2013-06-21,34.134666665,40.33916666666667,6296.439168518518,8204.406171862069
2013-06-22,32.800416670000004,37.275499999999994,6144.751982704402,7967.349338943397
2013-06-23,31.124166665,33.85616666666667,4263.172762962963,5309.313908296296
2013-06-24,30.115833334999998,37.30829166666666,6311.828114219139,8241.27838483343
2013-06-25,26.50825,31.028333333333332,5560.880433333334,7237.058166041742
2013-06-26,26.761916665,31.040666666666667,6043.392973333333,7730.19381585641
2013-06-27,26.472083335,28.4045,5609.827861564627,7244.938454114076
2013-06-28,26.5875,32.638333333333335,6078.51419,7855.3191672
2013-06-29,22.365333335,23.32008333333333,3614.84573,4396.133756266667
2013-06-30,20.865085722225643,23.043219584249087,3827.8359843526137,5019.833634760245
2013-07-01,26.674083333333336,30.994583333333335,6415.916923333333,8168.159744533333
2013-07-02,27.912416666666665,33.56066666666666,6469.851676666666,8295.102854502564
2013-07-03,28.689,35.39775,6442.635653333334,8326.614335733335
2013-07-04,27.652583333333332,32.611916666666666,5457.089086666666,6974.8108952
2013-07-05,28.62233333333333,32.83975,6254.638123333333,7969.879201600001
2013-07-06,29.084083333333332,33.698166666666665,6316.2779666666665,8063.411181866666
2013-07-07,29.433833333333332,33.104083333333335,6261.575322448979,8029.260458243852
2013-07-08,29.517,29.677666666666667,5524.03356,7126.259417066666
2013-07-09,29.72679166666667,33.735083333333336,6169.6186733333325,7933.139934157575
2013-07-10,29.45975,34.203,6180.910100851377,8011.447114842569
2013-07-11,29.86258333333333,37.20591666666667,5527.0729632653065,7124.302226987549
2013-07-12,29.214166666666664,32.0625,4700.592072789116,5954.8295512606865
2013-07-13,29.713833333333334,33.93,6074.431810544217,7845.547914004877
2013-07-14,28.454,29.740583333333333,5116.199184693877,6557.893639401362
2013-07-15,28.543916666666668,31.992166666666662,5630.993086734694,7369.26656204749
2013-07-16,28.873416666666664,31.774583333333336,6135.669050000001,7891.375786312925
2013-07-17,26.95275,31.353416666666664,6319.684205102041,8078.113399410089
2013-07-18,29.52316666666667,35.569500000000005,6189.307360204082,8019.114181496598
2013-07-19,30.999916666666664,35.227000000000004,5951.8586375,7751.452291999999
2013-07-20,29.211916666666667,34.31616666666667,5991.6111,7673.954005666667
2013-07-21,30.03516666666666,33.52616666666667,5738.142825000001,7373.187673264151
2013-07-22,29.594583333333336,33.412499999999994,5758.551270833334,7497.753195289309
2013-07-23,29.664416666666668,33.9,6022.023436394557,7845.874092707482
2013-07-24,32.06033333333333,37.2635,6079.792174999999,8080.278043
2013-07-25,31.537875,36.852999999999994,5908.22422357251,7850.00257094233
2013-07-26,31.576083333333337,36.01641666666667,5936.665654166667,7807.51940223077
2013-07-27,31.80283333333334,36.28175,5758.912180612245,7597.614833519624
2013-07-28,27.076083333333333,30.374000000000002,1596.326043589744,2125.142034924124
2013-07-29,36.6265,45.77700000000001,5555.064836862746,7468.629357552941
2013-07-30,32.18416666666667,34.729416666666665,5774.697294444444,7605.461418666667
2013-07-31,20.865085722225643,23.043219584249087,3827.8359843526137,5019.833634760245
2013-08-01,31.23375,34.503,5629.757094444445,7423.5932795555555
2013-08-02,31.34625,35.05533333333334,5579.232516666666,7395.757395174603
2013-08-03,32.14608333333334,36.0725,5687.979655797101,7553.064712463769
2013-08-04,31.90525,35.865916666666664,5597.562726811594,7518.645142782609
2013-08-05,32.467166666666664,35.878083333333336,5389.904455555556,7218.755990349206
2013-08-06,32.96158333333333,37.86883333333333,5453.554973188405,7382.461767022774
2013-08-07,33.903000000000006,39.79091666666666,5395.38785362319,7353.168247726708
2013-08-08,34.79658333333333,42.052416666666666,5264.4678,7191.396089301587
2013-08-09,35.851749999999996,42.25075,5241.270305555556,7106.230937777777
2013-08-10,26.611499999999996,27.82275,2571.2921239130433,3143.963807805383
2013-08-11,29.646333333333335,31.887999999999998,5405.015296376811,7115.657597846791
2013-08-12,29.741833333333332,32.66858333333334,5439.374180434783,7264.768503014492
2013-08-13,31.64483333333333,35.503416666666666,5378.1168152173905,7332.453835652173
2013-08-14,31.993166666666667,36.98458333333333,5279.402877777778,7181.464664444446
2013-08-15,27.41725,27.698,3739.0267485507243,4967.635232
2013-08-16,28.8865,30.963416666666667,5052.56445,6757.411678222222
2013-08-17,29.375666666666664,31.6435,5350.206522222223,7196.914535809525
2013-08-18,30.516333333333336,33.47566666666667,5367.9579,7353.240882666667
2013-08-19,30.952249999999996,33.90558333333333,5241.955816666667,7198.501942666665
2013-08-20,31.132749999999998,34.1915,4836.516066666667,6651.0606537777785
2013-08-21,27.984333333333336,29.992333333333335,3882.212983333334,5259.047506666667
